,dot_results_img_to_mask_aslist_neutShocks_py,files,masks
0,76481795.6979726,beta_map_APM_02_H2_hyper_hypo_Neut_shocks.nii,APM02_NSHOCKS_con099.hdr
1,464626519.3407399,beta_map_APM_03_H1_hyper_hypo_Neut_shocks.nii,APM03_NSHOCKS_con099.hdr
2,76589719.40924048,beta_map_APM_05_H1_hyper_hypo_Neut_shocks.nii,APM05_NSHOCKS_con089.hdr
3,83822796.30486847,beta_map_APM_06_H2_hyper_hypo_Neut_shocks.nii,APM06_NSHOCKS_con099.hdr
4,160944236.7678959,beta_map_APM_07_H1_hyper_hypo_Neut_shocks.nii,APM07_NSHOCKS_con099.hdr
5,190572271.39695656,beta_map_APM_09_H1_hyper_hypo_Neut_shocks.nii,APM09_NSHOCKS_con099.hdr
6,184880986.64252955,beta_map_APM_12_H2_hyper_hypo_Neut_shocks.nii,APM12_NSHOCKS_con099.hdr
7,265116255.8345257,beta_map_APM_16_H1_hyper_hypo_Neut_shocks.nii,APM16_NSHOCKS_con099.hdr
8,256930718.39757743,beta_map_APM_17_H2_hyper_hypo_Neut_shocks.nii,APM17_NSHOCKS_con099.hdr
9,52737370.87826473,beta_map_APM_20_H2_hyper_hypo_Neut_shocks.nii,APM20_NSHOCKS_con099.hdr
10,170872265.43868732,beta_map_APM_22_H2_hyper_hypo_Neut_shocks.nii,APM22_NSHOCKS_con099.hdr
11,214333080.39062703,beta_map_APM_26_H1_hyper_hypo_Neut_shocks.nii,APM26_NSHOCKS_con099.hdr
12,106233339.04781282,beta_map_APM_27_H2_hyper_hypo_Neut_shocks.nii,APM27_NSHOCKS_con099.hdr
13,171408909.19272754,beta_map_APM_28_H1_hyper_hypo_Neut_shocks.nii,APM28_NSHOCKS_con099.hdr
14,216676437.64146113,beta_map_APM_29_H1_hyper_hypo_Neut_shocks.nii,APM29_NSHOCKS_con099.hdr
15,291857866.91549045,beta_map_APM_33_H1_hyper_hypo_Neut_shocks.nii,APM33_NSHOCKS_con099.hdr
16,116434676.17799775,beta_map_APM_36_H1_hyper_hypo_Neut_shocks.nii,APM36_NSHOCKS_con099.hdr
17,89155960.96246336,beta_map_APM_37_H2_hyper_hypo_Neut_shocks.nii,APM37_NSHOCKS_con099.hdr
18,261597011.53392816,beta_map_APM_38_H1_hyper_hypo_Neut_shocks.nii,APM38_NSHOCKS_con099.hdr
19,376598413.6528554,beta_map_APM_40_H1_hyper_hypo_Neut_shocks.nii,APM40_NSHOCKS_con099.hdr
20,64242628.21792966,beta_map_APM_41_H2_hyper_hypo_Neut_shocks.nii,APM41_NSHOCKS_con099.hdr
21,148587877.3384375,beta_map_APM_42_H2_hyper_hypo_Neut_shocks.nii,APM42_NSHOCKS_con099.hdr
22,164723539.10680285,beta_map_APM_43_H2_hyper_hypo_Neut_shocks.nii,APM43_NSHOCKS_con099.hdr
23,111641771.93174204,beta_map_APM_47_H2_hyper_hypo_Neut_shocks.nii,APM47_NSHOCKS_con099.hdr
