,dot_results_img_to_mask_nps_neutShocks_py,files,masks
0,72.67378403946849,beta_map_APM_02_H2_hyper_hypo_Neut_shocks.nii,nps
1,633.7571834469359,beta_map_APM_03_H1_hyper_hypo_Neut_shocks.nii,nps
2,-39.75036572070813,beta_map_APM_05_H1_hyper_hypo_Neut_shocks.nii,nps
3,-210.88320721840995,beta_map_APM_06_H2_hyper_hypo_Neut_shocks.nii,nps
4,236.56666635253922,beta_map_APM_07_H1_hyper_hypo_Neut_shocks.nii,nps
5,399.3317910753967,beta_map_APM_09_H1_hyper_hypo_Neut_shocks.nii,nps
6,271.31639435659923,beta_map_APM_12_H2_hyper_hypo_Neut_shocks.nii,nps
7,83.88585336022447,beta_map_APM_16_H1_hyper_hypo_Neut_shocks.nii,nps
8,17.66286482885367,beta_map_APM_17_H2_hyper_hypo_Neut_shocks.nii,nps
9,113.10180338177629,beta_map_APM_20_H2_hyper_hypo_Neut_shocks.nii,nps
10,326.26873864675804,beta_map_APM_22_H2_hyper_hypo_Neut_shocks.nii,nps
11,323.845682734535,beta_map_APM_26_H1_hyper_hypo_Neut_shocks.nii,nps
12,275.6445876090106,beta_map_APM_27_H2_hyper_hypo_Neut_shocks.nii,nps
13,225.6507238445423,beta_map_APM_28_H1_hyper_hypo_Neut_shocks.nii,nps
14,391.6966098717697,beta_map_APM_29_H1_hyper_hypo_Neut_shocks.nii,nps
15,362.1167723252301,beta_map_APM_33_H1_hyper_hypo_Neut_shocks.nii,nps
16,219.4783087555629,beta_map_APM_36_H1_hyper_hypo_Neut_shocks.nii,nps
17,254.39180221225138,beta_map_APM_37_H2_hyper_hypo_Neut_shocks.nii,nps
18,321.3583604642667,beta_map_APM_38_H1_hyper_hypo_Neut_shocks.nii,nps
19,410.20595531339893,beta_map_APM_40_H1_hyper_hypo_Neut_shocks.nii,nps
20,-56.539769712254696,beta_map_APM_41_H2_hyper_hypo_Neut_shocks.nii,nps
21,-33.451444696936164,beta_map_APM_42_H2_hyper_hypo_Neut_shocks.nii,nps
22,554.9672157873324,beta_map_APM_43_H2_hyper_hypo_Neut_shocks.nii,nps
23,116.6728077067413,beta_map_APM_47_H2_hyper_hypo_Neut_shocks.nii,nps
